输入,输出JSON,校验点
帮我生成7月的预测对比报告,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 粒度=周（week，默认）
[MUST] 汇总维度=物理仓
[SHOULD] 指标=WMAPE（默认）"
看看 A001 在 7月的预测对比,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""sku"": ""A001"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓"
看看 北京仓 7月的预测对比,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓"
看看 帝都仓 7月的预测对比,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓"
把这份 7月 的预测对比报告导成 CSV 给我,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 导出格式=csv
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓"
用 MA、ETS、Croston 对比一下 7月 的表现,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""algorithms"": [""MA"", ""ETS"", ""Croston""], ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 算法集合={MA, ETS, Croston}
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓"
7月的预测对比，WMAPE 和 MASE 都带上,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE"", ""metrics"": [""WMAPE"", ""MASE""]}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 指标集合包含={WMAPE, MASE}
[SHOULD] 主排序指标=WMAPE（若下游需要排序）
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓"
帮我生成下周的需求预测,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[SHOULD] 粒度=周（week，默认）"
帮我查询成都仓下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""warehouse"": ""成都仓"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] 仓=成都仓
[SHOULD] 粒度=周（week，默认）"
帮我查询A001下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""sku"": ""A001"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）"
帮我查询A001、成都仓下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""warehouse"": ""成都仓"", ""sku"": ""A001"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] 仓=成都仓
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）"
帮我查询北京/成都仓下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""warehouse_list"": [""北京仓"", ""成都仓""], ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] 仓集合={北京仓, 成都仓}
[SHOULD] 粒度=周（week，默认）"
帮我查询帝都仓下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=周（week，默认）"
帮我把A001、成都仓下周需求预测修改为8000,"解析结果JSON: {""intent"": ""需求预测"", ""operation_type"": ""update"", ""time_window"": ""next_week"", ""warehouse"": ""成都仓"", ""sku"": ""A001"", ""value"": 8000}","[MUST] 意图=需求预测
[MUST] 操作类型=修改（update）
[MUST] 时间窗=下周（next_week）
[MUST] 仓=成都仓
[MUST] SKU=A001
[MUST] 新值=8000"
帮我生成下周需求预测，我需要导出CSV,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""granularity"": ""week"", ""export_format"": ""csv""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] 导出格式=csv
[SHOULD] 粒度=周（week，默认）"
帮我生成本周的补货计划,"解析结果JSON: {""intent"": ""补货计划"", ""time_window"": ""this_week""}","[MUST] 意图=补货计划
[MUST] 时间窗=本周（this_week）"
看看今天北京仓的补货计划,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""warehouse"": ""北京仓""}","[MUST] 意图=补货计划
[MUST] 巡检日期=today
[MUST] 仓=北京仓"
看看今天北京/成都的补货计划,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""warehouse_list"": [""北京仓"", ""成都仓""]}","[MUST] 意图=补货计划
[MUST] 巡检日期=today
[MUST] 仓集合={北京仓, 成都仓}"
看看今天A001的补货计划,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""sku"": ""A001""}","[MUST] 意图=补货计划
[MUST] 巡检日期=today
[MUST] SKU=A001"
看看今天帝都仓的补货计划,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓""}","[MUST] 意图=补货计划
[MUST] 巡检日期=today
[MUST] 仓=北京仓（别名""帝都仓""映射）"
把A001今天的补货数量改为500,"解析结果JSON: {""intent"": ""补货计划"", ""operation_type"": ""update"", ""inspection_date"": ""today"", ""sku"": ""A001"", ""value"": 500}","[MUST] 意图=补货计划
[MUST] 操作类型=修改（update）
[MUST] 巡检日期=today
[MUST] SKU=A001
[MUST] 新值=500"
把今天的补货计划导成CSV给我,"解析结果JSON: {""intent"": ""补货计划"", ""inspection_date"": ""today"", ""export_format"": ""csv""}","[MUST] 意图=补货计划
[MUST] 巡检日期=today
[MUST] 导出格式=csv"
帮我生成本周的调拨计划,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week""}","[MUST] 意图=调拨计划
[MUST] 时间窗=本周（this_week）"
今天的调拨计划是什么,"解析结果JSON: {""intent"": ""调拨计划"", ""inspection_date"": ""today""}","[MUST] 意图=调拨计划
[MUST] 巡检日期=today"
生成本周北京仓的调拨计划,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""warehouse"": ""北京仓""}","[MUST] 意图=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 仓=北京仓"
只做 A001 和 A002 的本周调拨,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""sku_list"": [""A001"", ""A002""]}","[MUST] 意图=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] SKU集合={A001, A002}"
生成本周北京/成都的调拨计划,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""warehouse_list"": [""北京仓"", ""成都仓""]}","[MUST] 意图=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 仓集合={北京仓, 成都仓}"
把北京仓本周A001的调拨数量改为300,"解析结果JSON: {""intent"": ""调拨计划"", ""operation_type"": ""update"", ""time_window"": ""this_week"", ""warehouse"": ""北京仓"", ""sku"": ""A001"", ""value"": 300}","[MUST] 意图=调拨计划
[MUST] 操作类型=修改（update）
[MUST] 时间窗=本周（this_week）
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 新值=300"
把本周的调拨计划导成 CSV 给我,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""export_format"": ""csv""}","[MUST] 意图=调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 导出格式=csv"
请生成上月的KPI报告,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
看看 北京仓 上月的 KPI 报告,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
看看 帝都仓 上月的 KPI 报告,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
把上月的 KPI 报告导成 CSV 给我,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 导出格式=csv
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月本地履约率怎么样？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""local_fulfillment_rate""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=本地订单满足率（local_fulfillment_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月拆单率是多少？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_rate""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单率（split_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月旧批次拆单率怎么样？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""old_batch_split_ratio""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=旧批次拆单率（old_batch_split_ratio）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月订单运费是多少？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""order_shipping_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=订单运费（order_shipping_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月物流总运费是多少,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""total_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=总运费（total_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）"
上月调拨总运费是多少,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""transfer_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=调拨运费（transfer_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）"
上月拆单增量成本是多少？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_extra_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单增量成本（split_extra_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
