用例ID,优先级,模块,子场景,业务描述,输入,校验点
INT-001,P1,意图识别,调拨计划,"用户让系统""生成7月成都仓A001的调拨计划""，需正确识别业务意图与关键参数",文本：`请帮我生成7月成都仓 A001 的调拨计划`,"1) [MUST] 识别意图=调拨计划
2) [MUST] 抽取仓=成都仓
3) [MUST] 抽取SKU=A001
4) [MUST] 时间窗解析=2025-07-01~2025-07-31"
INT-002,P1,意图识别,调拨计划,生成月度调拨计划的标准解析,`生成 7 月 成都仓 的调拨计划`,"[MUST] 意图=生成调拨计划
[MUST] 仓=成都仓
[MUST] 时间窗=2025-07
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=日更/周重算（若系统有默认）"
INT-003,P1,意图识别,调拨计划,多仓 + 取整偏好（整托优先）解析,`给 北京/成都 两仓做下周调拨，整托优先`,"[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京, 成都}
[MUST] 时间窗=下周
[SHOULD] 取整偏好=整托优先
[SHOULD] 其他未指定参数走默认"
INT-004,P1,意图识别,调拨计划,"周一发起：默认生成""本周""的调拨计划",帮我生成本周的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（自然周 周一~周日）
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=周基准版（weekly_baseline）"
INT-005,P1,意图识别,调拨计划,"每日巡检：只看""今天""的计划",今天的调拨计划是什么？,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=今天（today）
[SHOULD] 版本=日更版（daily_refresh）"
INT-006,P1,意图识别,调拨计划,先看下周的到货安排,生成下周的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=下周（next_week）"
INT-007,P2,意图识别,调拨计划,跨月自然周口径校验,生成 7月第一周 的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=月内周（2025-07-W1）
[SHOULD] 跨月标记=是（如该周跨月）"
INT-008,P1,意图识别,调拨计划,未显式说明时使用系统默认止拨策略,生成本周北京仓的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=应用（默认）"
INT-009,P1,意图识别,调拨计划,放开止拨/越权,放开止拨，生成本周北京仓调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=越权（override）"
INT-010,P1,意图识别,调拨计划,强化止拨口径,严格执行止拨阈值，生成本周北京仓计划,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=严格（strict）"
INT-011,P1,意图识别,调拨计划,多仓 + 时间窗解析,给 北京/成都 两仓做下周调拨,"[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京仓, 成都仓}
[MUST] 时间窗=下周（next_week）"
INT-012,P1,意图识别,调拨计划,在途计入/不计入口径解析,生成本周计划，不要把在途算进去,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=否（false）"
INT-013,P2,意图识别,调拨计划,单批次最多去向数,最多拆到两个去向,"[MUST] 意图=生成调拨计划
[MUST] K限制=2（单批次最多去向数）"
INT-014,P3,意图识别,调拨计划,去向的最小拆分箱数,每个去向至少 3 箱,"[MUST] 意图=生成调拨计划
[MUST] 最小拆分量=3箱"
INT-015,P1,意图识别,调拨计划,仅指定 SKU 的计划,只做 A001 和 A002 本周的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] SKU集合={A001, A002}
[MUST] 时间窗=本周（this_week）"
INT-016,P1,意图识别,调拨计划,周基准版/日更版选择,用周基准版生成本周计划,"[MUST] 意图=生成调拨计划
[MUST] 版本=周基准版（weekly_baseline）"
INT-017,P1,意图识别,预测对比报告,"识别""预测对比""，抽取算法集合、时间窗与评价指标",`做 A001@北京仓 近三个月 MA/ETS/Croston 的预测对比，给 WMAPE`,"[MUST] 意图=预测对比报告
[MUST] SKU=A001
[MUST] 仓=北京仓
[MUST] 时间窗=近3个月
[MUST] 算法集合={MA, ETS, Croston}
[MUST] 指标=WMAPE"
INT-018,P2,意图识别,预测对比报告,季度维度 + 仓汇总展示诉求,`出 2024Q4 的预测对比报告，按仓汇总展示`,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2024Q4
[MUST] 汇总维度=物理仓
[SHOULD] 默认算法集合=平台默认
[SHOULD] 指标=WMAPE/MASE（如未指明给默认集）"
INT-019,P1,意图识别,预测对比报告,标准句，明确月份/仓/算法与周粒度,生成 **2025年7月 成都仓** 的预测算法对比报告（**MA/ETS/Croston**，**按周**）,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS, Croston}"
INT-020,P2,意图识别,预测对比报告,同义表达+多仓,出一份 **7月 珠海仓+北京仓** 的预测对比，看 **MA 和 ETS** 谁更准（按周）,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓集合={珠海仓, 北京仓}
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS}"
INT-021,P1,意图识别,预测对比报告,缺失粒度→默认周；指定指标,生成 **2025-07 成都仓 A002** 的算法对比，**按 wMAPE 排序**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] SKU=A002
[MUST] 粒度=周（week，默认）
[MUST] 评价指标=wMAPE
[SHOULD] 算法集合=平台默认"
INT-022,P3,意图识别,预测对比报告,仓别名/纠错,给 **帝都仓** 做 **7月** 预测对比，包含 **Croston**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓（别名""帝都仓""映射）
[MUST] 粒度=周（week）
[MUST] 算法集合包含=Croston
[SHOULD] 支持别名映射"
INT-023,P2,意图识别,预测对比报告,跨月周偏好说明,生成 **7月 成都仓** 的算法对比，**跨月周并入7月**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 跨月周策略=并入起始月
[SHOULD] 算法集合=平台默认"
INT-024,P3,意图识别,预测对比报告,滤条件+窗口参数,对 **7月 珠海仓 A001/A002** 做 **MA/ETS** 对比，**窗口=8周**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=珠海仓
[MUST] SKU集合={A001, A002}
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS}
[MUST] 窗口参数=8周"
INT-025,P1,意图识别,活动调整预测,抽取活动窗口、对象与 uplift（百分比）,`7/10-7/20 成都仓 A001 陈列促销，预计 +30%，调整预测`,"[MUST] 意图=活动调整预测
[MUST] 活动窗=07-10~07-20
[MUST] SKU=A001
[MUST] 仓=成都仓
[MUST] 调整方式=+30%（相对提升）
[SHOULD] 作用粒度=日/周（平台既定）"
INT-026,P2,意图识别,活动调整预测,"抽取""绝对加量/日""的活动设定，全仓范围",`A002 全渠道 7月12-14 日直播，每日 +400，调上去`,"[MUST] 意图=活动调整预测
[MUST] 活动窗=07-12~07-14
[MUST] SKU=A002
[MUST] 仓=全部仓（全渠道）
[MUST] 调整方式=+400/日（绝对增量）
[SHOULD] 冲突处理=与既有活动合并策略"
INT-027,P1,意图识别,活动调整预测,标准活动上调（百分比+时间+范围）,**7/10–7/12** 成都仓 **A002** 预测 **上调20%**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-10~2025-07-12
[MUST] 仓=成都仓
[MUST] SKU=A002
[MUST] 调整方式=+20%（相对提升）
[SHOULD] 应用模式=覆盖窗口"
INT-028,P2,意图识别,活动调整预测,多仓同调,**7月第二周** **北京/珠海** 全部SKU **+15%**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-W2（第二周）
[MUST] 仓集合={北京仓, 珠海仓}
[MUST] SKU=全部SKU
[MUST] 调整方式=+15%（相对提升）"
INT-029,P2,意图识别,活动调整预测,下调与上限,**7/20** 昆山仓 **A003** **下调10%**，**最大不低于P10**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-20
[MUST] 仓=昆山仓
[MUST] SKU=A003
[MUST] 调整方式=-10%（相对下调）
[MUST] 下限约束=P10（不低于第10百分位）"
INT-030,P3,意图识别,活动调整预测,取消已设活动（撤销）,撤销 **7/10–7/12 成都仓 A002 上调20%** 的活动调整,"[MUST] 意图=活动调整预测
[MUST] 操作类型=撤销（revert）
[MUST] 原活动窗口=2025-07-10~2025-07-12
[MUST] 原仓=成都仓
[MUST] 原SKU=A002
[MUST] 原调整值=+20%"
INT-031,P2,意图识别,活动调整预测,活动叠加与优先级,**7/15–7/16** 北京仓 **A001** **店庆+10%**，若与 **大促+20%** 重叠，**取较高**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-15~2025-07-16
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 活动标签={店庆, 大促}
[MUST] 冲突策略=取较高值（max）"
INT-032,P2,意图识别,活动调整预测,指定渠道/组织范围,**7月第三周** **成都仓** 电商渠道 **+25%**（仅 **BC组织**）,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-W3（第三周）
[MUST] 仓=成都仓
[MUST] 组织=BC
[MUST] 渠道=电商
[MUST] 调整方式=+25%（相对提升）"
INT-033,P1,意图识别,需求预测,"识别""生成周度需求预测""，抽取 SKU/仓/时间窗/方法",`请生成7月 成都仓 A001 的周度需求预测，用 MA8`,"[MUST] 意图=生成需求预测
[MUST] SKU=A001
[MUST] 仓=成都仓
[MUST] 时间窗=2025-07-01~2025-07-31（按自然月）
[SHOULD] 粒度=周
[MUST] 方法=MA8"
INT-034,P1,意图识别,需求预测,口语化请求，缺少 SKU 与方法，要求合理默认/补齐策略,`出下月北京仓的预测`,"[MUST] 意图=生成需求预测
[MUST] 仓=北京仓
[MUST] 时间窗=下月
[SHOULD] SKU=全部SKU
[SHOULD] 方法=auto_best（或平台默认）
[SHOULD] 粒度=周"
INT-035,P1,意图识别,需求预测明细,标准句：指定SKU/仓/周粒度,导出 **7月 A002 北京仓** 的**按周**需求预测明细,"[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[MUST] SKU=A002
[MUST] 粒度=周（week）
[SHOULD] 格式=表格（默认）"
INT-036,P2,意图识别,需求预测明细,多SKU多仓,给 **成都/昆山仓** 的 **A001、A003** 出 **7月周明细**,"[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓集合={成都仓, 昆山仓}
[MUST] SKU集合={A001, A003}
[MUST] 粒度=周（week）"
INT-037,P1,意图识别,需求预测明细,缺SKU→默认全部SKU,出 **珠海仓 2025年7月** 的**周预测明细**（全部SKU）,"[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=珠海仓
[MUST] 粒度=周（week）
[SHOULD] SKU=全部SKU（默认）"
INT-038,P2,意图识别,需求预测明细,粒度切换为日,给 **北京仓 A002** 出 **7月按日** 的预测明细,"[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[MUST] SKU=A002
[MUST] 粒度=日（day）"
INT-039,P2,意图识别,需求预测明细,指定导出格式,导出 **7月 成都仓** 预测明细为 **CSV**,"[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 导出格式=CSV"
INT-040,P2,意图识别,需求预测明细,跨月周按规则拆分,**7/29–8/4** 这周的明细，**日级拆分**到 **7月与8月** 分别导出,"[MUST] 意图=需求预测明细
[MUST] 时间范围=2025-07-29~2025-08-04
[MUST] 粒度=日（day）
[MUST] 按日拆分=是
[MUST] 按月分割导出=是（7月与8月分别）"
INT-041,P1,意图识别,KPI报告,本月 KPI 报告 + 指标集合解析,`生成本月 KPI（预测精度、本地履约率）`,"[MUST] 意图=生成KPI报告
[MUST] 时间窗=本月
[MUST] 指标集合={预测精度(如WMAPE), 本地履约率}
[SHOULD] 维度=SKU×仓（或平台默认）"
INT-042,P2,意图识别,KPI报告,上月 KPI + 维度 + 导出格式,`出上月 KPI（仓维度），导出 Excel`,"[MUST] 意图=生成KPI报告
[MUST] 时间窗=上月
[MUST] 维度=物理仓
[SHOULD] 导出=Excel
[SHOULD] 指标集=平台默认或最近一次选择"
FCST-001,P1,需求预测,预测生成,按月语义生成预测，实际输出按周粒度落地,出7月成都仓A001的预测(MA8),"[MUST] 时间窗解析为7/1-7/31
[MUST] 输出按SKU×仓×周
[MUST] 周内跨月标记正确
[MUST] 方法=MA8"
FCST-002,P1,需求预测,预测生成,支持多仓列表输入，按仓分别处理,A001 北京/成都7月预测,"[MUST] 产出行数=(仓数×当月周数)
[MUST] 仓名标准化
[MUST] 任一仓名非法则仅该仓报错且其余不受影响"
FCST-003,P1,需求预测,预测生成,支持多SKU列表输入，按SKU分别处理,A001、A002成都7月预测,"[MUST] 行数=(SKU数×周数)
[MUST] SKU去重
[MUST] 不存在的SKU给出可追溯告警"
FCST-004,P1,需求预测,预测生成,多仓多SKU组合，按笛卡尔积展开,A001/A002 北京/成都7月预测,"[MUST] 行数=(2 SKU×2仓×周数)
[MUST] 无交叉丢失
[MUST] 输出维度完整"
FCST-005,P2,需求预测,预测生成,支持全部SKU通配，按白名单展开,全部 SKU 成都7月预测,"[MUST] 实际展开到白名单SKU集
[MUST] 若超平台上限(如>1000)给分页/分批提示"
FCST-006,P1,需求预测,预测生成,支持模糊时间表达，正确解析为具体时间,A001 成都下月预测,"[MUST] 正确将""下月""转为下一个自然月
[MUST] 闰月/5周月仍能按周拆分"
FCST-007,P2,需求预测,预测生成,处理跨月周边界情况，正确标记,A001 成都 7/29-8/4 这一周预测,"[MUST] 仍按自然周出1条
[MUST] 跨月周标记=Y
[MUST] 周归属口径与月度汇总口径说明一致"
FCST-008,P1,需求预测,预测生成,缺少预测方法时，使用默认最优算法,A001成都7月预测,"[MUST] 方法=auto_best(平台默认)
[MUST] 回写""使用默认算法""的元数据"
FCST-009,P3,需求预测,预测生成,处理别名仓名，映射到标准仓名,A001 帝都仓7月预测,"[MUST] 别名→标准仓(北京仓)
[MUST] 若无法映射则报""未知仓"",整体任务不中断"
FCST-010,P3,需求预测,预测生成,处理超长SKU列表，支持批量切片和限流,A[001..200] 北京7月预测,[MUST] 触发并验证批量切片、并发/速率控制、合并结果顺序与去重一致性
FCST-011,P2,需求预测,预测生成,处理无历史数据或全0历史数据情况,"A009 成都7月预测""且历史=0","[MUST] 仍产出周粒度行
[MUST] 方法回退为简单均值或输出""低置信""标记
[MUST] 不报错"
FCST-012,P3,需求预测,预测生成,处理已停采或作废的SKU,A000(停采)北京7月预测,"[MUST] 返回0行并有可追溯告警
[MUST] 整体任务不中断"
FCST-013,P3,需求预测,预测生成,处理重复提交，保证幂等性,同一条指令重复提交两次,"[MUST] 两次结果一致
[MUST] 仅写一次任务日志(或标记为幂等命中)"
FCST-014,P3,需求预测,预测生成,处理别名和全半角字符混用,A001 帝都仓7月预测,"[MUST] 别名→北京仓
[MUST] 全角""7""正确解析为7
[MUST] 其余维度不受影响"
FCST-015,P3,需求预测,预测生成,处理大规模数据，支持分页处理,"全部 SKU 成都7月预测""(>1000行)","[MUST] 触发批量切片与分页
[MUST] 最终结果合并不丢不重,排序=SKU,仓,周"
FCST-016,P1,需求预测,预测对比报告,A001@北京仓近三个月，多算法对比，给 wMAPE,做 A001@北京仓 近三个月 MA/ETS/Croston 的预测对比，给 wMAPE,"[MUST] 时间窗=近3个月（rolling_3m）
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 算法集合={MA, ETS, Croston}
[MUST] 指标包含=wMAPE
[SHOULD] 附带P50/P90 WAPE"
FCST-017,P2,需求预测,预测对比报告,2024Q4 按仓汇总展示,出 2024Q4 的预测对比报告，按仓汇总展示,"[MUST] 时间窗=2024Q4
[MUST] 粒度=仓汇总
[MUST] 指标集合={wMAPE, P50, P90}
[SHOULD] 跨月标记=是（如跨月周标记）"
FCST-018,P1,需求预测,预测对比报告,2025年7月成都仓，按周对比,生成 2025年7月 成都仓 的预测对比（按周）,"[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周
[SHOULD] 输出周起止列"
FCST-019,P2,需求预测,预测对比报告,6/24~7/21 跨月周对比,对比 2025-06-24~2025-07-21 的预测表现,"[MUST] 时间窗=日期区间（2025-06-24~2025-07-21）
[MUST] 跨月标记=是
[SHOULD] 口径=自然周/自然日清晰标注"
FCST-020,P1,需求预测,预测对比报告,指定 MA7/MA8，缺失时回退默认集合,做近一月对比，用 MA7/MA8,"[MUST] 时间窗=近1个月（rolling_1m）
[MUST] 算法请求包含={MA7, MA8}
[SHOULD] 若算法不可用→fallback到{MA, ETS}并在报告头标注"
FCST-021,P2,需求预测,预测对比报告,列出 wMAPE 最差 Top10 SKU,输出最近一月 wMAPE 最差 Top10 SKU,"[MUST] 时间窗=近1个月（rolling_1m）
[MUST] 排序方式=wMAPE最差排序
[MUST] TopN=10
[SHOULD] 附每个SKU的覆盖样本数"
FCST-022,P1,需求预测,活动调整预测,北京仓 A001 在 7/10–7/12 提升 20%,A001@北京仓 7月10日到12日 活动提升 20%,"[MUST] 范围={SKU:A001, 仓:北京}
[MUST] 活动窗口=2025-07-10~2025-07-12
[MUST] 调整方式=+20%（乘法）
[SHOULD] 仅影响活动窗内预测"
FCST-023,P1,需求预测,活动调整预测,618活动，成都仓全品类 +30%,成都仓 618 活动期 需求提升 30%,"[MUST] 活动=618→正确映射日期
[MUST] 仓=成都仓
[MUST] 调整方式=+30%
[SHOULD] 若含多个波段，逐段生效"
FCST-024,P2,需求预测,活动调整预测,两条活动重叠时，后录入覆盖前者,对 7/10–7/12 已有 +10%，再加 +25%,"[MUST] 冲突解决=后者覆盖（latest_wins）
[MUST] 结果调整值=+25%
[SHOULD] 记录历史版本"
FCST-025,P3,需求预测,活动调整预测,撤销上一条活动调整,撤销 上次 对 A001 的活动调整,"[MUST] 操作=回滚上次（rollback_last）
[MUST] 恢复至调整前预测
[SHOULD] 留存审计日志"
FCST-026,P2,需求预测,活动调整预测,7/28–8/03 活动，按日拆分入相邻月份,7月28日至8月3日 全仓活动 +15%,"[MUST] 跨月标记=是
[MUST] 拆分粒度=日级拆分
[SHOULD] 月度归属遵循自然日"
FCST-027,P1,需求预测,活动调整预测,提升后不超过 2x，且不低于 0,A 类目 下周 活动 +80%，设置上限 2 倍,"[MUST] 上限=2倍
[MUST] 下限=0
[SHOULD] 超出上限的天/仓给出截断提示"
ALLOC-001,P1,调拨计划,生成调拨计划,生成本周全仓调拨计划（默认含在途、默认止拨）,生成本周的调拨计划,"[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=是（true）
[MUST] 止拨策略=应用（apply）
[MUST] 输出列包含={SKU, 仓, 数量, ETA, 批次}
[SHOULD] 合计≤止拨后可分配量"
ALLOC-002,P1,调拨计划,生成调拨计划,仅输出今日触发的补货行,今天的调拨计划是什么？,"[MUST] 时间窗=今天（today）
[MUST] 触发条件=库存水位<ROP
[SHOULD] 附触发原因列"
ALLOC-003,P1,调拨计划,生成调拨计划,止拨限制导致未分配进入例外清单,严格执行止拨 阈值后生成北京仓计划,"[MUST] 止拨策略=严格（strict）
[MUST] 未满足缺口→异常清单
[SHOULD] 原因=止拨不足"
ALLOC-004,P1,调拨计划,生成调拨计划,放开止拨后补足缺口,放开止拨 生成北京仓本周计划,"[MUST] 止拨策略=越权（override）
[MUST] 填补上例缺口
[SHOULD] 记录越权来源"
ALLOC-005,P1,调拨计划,生成调拨计划,批次最多 2 去向，每去向≥3箱,K=2；min_split_cases=3；生成本周计划,"[MUST] K限制=2
[MUST] 最小拆分量=3箱
[MUST] 任一批次去向数≤2
[MUST] 每去向≥3箱
[SHOULD] 超限残量进入未分配清单"
ALLOC-006,P1,调拨计划,生成调拨计划,不把在途计入库存水位,生成本周计划 不要把在途算进去,"[MUST] 包含在途=否（false）
[MUST] 触发行↑（相对默认口径）"
ALLOC-007,P1,调拨计划,生成调拨计划,跨月周照常生成，月度账按自然日拆分,生成 7月第一周 的调拨计划,"[MUST] 跨月标记=是
[MUST] 报表口径=自然周
[SHOULD] 月度拆分标记"
ALLOC-008,P1,调拨计划,生成调拨计划,只对 A001/A002 生成计划,只做 A001 和 A002 的本周调拨,"[MUST] SKU集合={A001, A002}
[MUST] 仅输出这两类SKU"
ALLOC-009,P2,调拨计划,生成调拨计划,生成可执行的建议单（整箱/整托取整）,生成建议调拨单（按包装/整托取整）,"[MUST] 取整方式=按箱/按托盘
[MUST] 计划数量=取整后数量
[SHOULD] 超体/车次裁剪标注"
RPT-001,P1,生成报告,KPI报告,输出 7 月 KPI 总览（全仓）,生成 7月 的 KPI 报告,"[MUST] 时间窗=2025-07（月）
[MUST] 指标包含={本地订单履约率, 拆单率, 缺货率, 旧批占比, 运费/单}
[SHOULD] 上月对比"
RPT-002,P1,生成报告,KPI报告,本周按仓拆分 KPI,生成 本周 KPI（按仓）,"[MUST] 时间窗=本周（this_week）
[MUST] 粒度=仓
[SHOULD] 排序=本地履约率升序"
RPT-003,P1,生成报告,KPI报告,本地履约率最低 Top10 SKU×仓,输出 履约率最低 Top10 SKU×仓,"[MUST] 排序方式=本地履约率最低排序
[MUST] TopN=10
[SHOULD] 附原因标签字段（如越库/在途/止拨）"
RPT-004,P1,生成报告,KPI报告,跨月周统计口径一致（财务按自然日拆账）,本周跨月 仍生成 KPI,"[MUST] 跨月标记=是
[MUST] 周口径=自然周
[SHOULD] 月度拆账提示"
RPT-005,P1,生成报告,KPI报告,支持导出 CSV/Excel,导出 本月 KPI 明细为 CSV,"[MUST] 导出格式=CSV
[MUST] 列完整
[SHOULD] 文件名含period与生成时间"
RPT-006,P3,生成报告,KPI报告,打开上周 KPI 报告时，4 张摘要卡需全部出现,生成上周KPI报告,"[MUST] 摘要卡标题包含={本地履约率, 拆单率, 旧批次拆单占比, 订单量}
[MUST] 全部摘要卡存在"
RPT-007,P3,生成报告,KPI报告,每张摘要卡的字段齐全,生成上周KPI报告,"[MUST] 每张卡包含={value, wow_delta, trend}
[MUST] 字段非空且可解析"
RPT-008,P3,生成报告,KPI报告,摘要卡的数值/格式符合约定,生成上周KPI报告,"[MUST] 本地履约率/拆单率/旧批次拆单占比=百分比格式（如42.3%）
[MUST] 订单量=整数/千分位可选
[MUST] trend字段存在（显示上升/下降/持平或等价图标）"
RPT-009,P3,生成报告,KPI报告,核心指标表结构正确,生成上周KPI报告,"[MUST] 表头={指标, 上周, 环比, 同期, 趋势}
[MUST] 行项目包含={本地履约率, 拆单率, 旧批次拆单占比}"
RPT-010,P3,生成报告,KPI报告,核心指标表中的字段格式正确,生成上周KPI报告,"[MUST] 指标行中的比率类=百分比格式
[MUST] 趋势列呈现=上升/下降/持平（或等价图标）"
RPT-011,P3,生成报告,KPI报告,重点仓表现表存在且列齐全,生成上周KPI报告,"[MUST] 表头={仓, 本地履约率, 拆单率, 旧批次拆单占比, 订单量}
[MUST] 至少1行数据"
RPT-012,P3,生成报告,KPI报告,重点仓各列格式正确,生成上周KPI报告,"[MUST] 比率列=百分比格式
[MUST] 订单量=非负整数/千分位可选
[MUST] 仓字段非空"
RPT-013,P3,生成报告,KPI报告,运输成本分析（上周）4 张卡片全部出现,生成上周KPI报告,"[MUST] 成本卡标题包含={总运费, 订单运费, 调拨运费, 加权单位物流成本}
[MUST] 全部成本卡存在"
RPT-014,P3,生成报告,KPI报告,成本卡片字段齐全且格式正确,生成上周KPI报告,"[MUST] 每张卡包含={value, wow_delta, trend}
[MUST] 金额类带货币/千分位（如¥1,838,646）
[MUST] 单位成本显示=元/m³"
RPT-015,P3,生成报告,KPI报告,省级物流成本明细（前10名）表结构正确,生成上周KPI报告,"[MUST] 表头={省份, 单位物流成本（元/m³）, 环比, 同期, 趋势}
[MUST] 行数=10
[MUST] 单位成本列=数值+单位"
RPT-016,P3,生成报告,KPI报告,"所有出现""趋势/Trend""的位置都按统一枚举展示",生成上周KPI报告,"[MUST] 所有trend字段出现
[MUST] trend值∈{上升, 下降, 持平}（或等价图标/文案一致）"
