用例ID,模块,子场景,业务描述,输入,tools工具,输出,校验点
FCST-004,需求预测,预测生成,多仓多SKU组合，按笛卡尔积展开,A001/A002 北京/成都7月预测,需求预测引擎、笛卡尔积展开器,"需求预测表CSV: {""组合数"": 4, ""SKU×仓组合"": [[""A001"", ""北京仓""], [""A001"", ""成都仓""], [""A002"", ""北京仓""], [""A002"", ""成都仓""]], ""每组周数"": 5, ""总行数"": 20}","[MUST] 行数=(2 SKU×2仓×周数)
[MUST] 无交叉丢失
[MUST] 输出维度完整"
FCST-005,需求预测,预测生成,支持全部SKU通配，按白名单展开,全部 SKU 成都7月预测,需求预测引擎、SKU白名单查询器、分页处理器,"需求预测表CSV: {""SKU数量"": ""根据白名单"", ""物理仓"": ""成都仓"", ""分页提示"": ""若超1000行则分批处理""}；返回白名单SKU列表和分页信息","[MUST] 实际展开到白名单SKU集
[MUST] 若超平台上限(如>1000)给分页/分批提示"
FCST-006,需求预测,预测生成,支持模糊时间表达，正确解析为具体时间,A001 成都下月预测,需求预测引擎、时间解析器(支持相对时间)、自然月解析器,"需求预测表CSV: {""时间窗"": ""下月转为具体月份(如2025-08)"", ""SKU"": ""A001"", ""物理仓"": ""成都仓"", ""周数"": ""按实际周数(4或5周)""}","[MUST] 正确将""下月""转为下一个自然月
[MUST] 闰月/5周月仍能按周拆分"
FCST-007,需求预测,预测生成,处理跨月周边界情况，正确标记,A001 成都 7/29-8/4 这一周预测,需求预测引擎、跨月周识别器、财务拆分规则引擎,"需求预测表CSV: {""周次"": ""2025-W31"", ""周起止"": ""2025-07-29~2025-08-04"", ""跨月周标记"": ""Y"", ""财务拆分说明"": ""按自然日拆分到7月和8月""}","[MUST] 仍按自然周出1条
[MUST] 跨月周标记=Y
[MUST] 周归属口径与月度汇总口径说明一致"
FCST-008,需求预测,预测生成,缺少预测方法时，使用默认最优算法,A001成都7月预测,需求预测引擎、默认算法选择器、元数据记录器,"需求预测表CSV: {""SKU"": ""A001"", ""物理仓"": ""成都仓"", ""预测方法"": ""auto_best"", ""元数据"": ""使用默认算法""}","[MUST] 方法=auto_best(平台默认)
[MUST] 回写""使用默认算法""的元数据"
FCST-009,需求预测,预测生成,处理别名仓名，映射到标准仓名,A001 帝都仓7月预测,需求预测引擎、仓库别名映射器、异常处理器,"需求预测表CSV: {""SKU"": ""A001"", ""输入仓名"": ""帝都仓"", ""标准仓名"": ""北京仓"", ""映射状态"": ""成功""}；若映射失败返回""未知仓""警告，任务继续","[MUST] 别名→标准仓(北京仓)
[MUST] 若无法映射则报""未知仓"",整体任务不中断"
FCST-010,需求预测,预测生成,处理超长SKU列表，支持批量切片和限流,A[001..200] 北京7月预测,需求预测引擎、批量切片器、并发控制器、结果合并器,"需求预测表CSV: {""SKU数量"": 200, ""批次数"": ""按平台限制切片"", ""并发控制"": ""速率限制"", ""合并策略"": ""按SKU排序去重""}",[MUST] 触发并验证批量切片、并发/速率控制、合并结果顺序与去重一致性
FCST-011,需求预测,预测生成,处理无历史数据或全0历史数据情况,A009 成都7月预测"且历史=0,需求预测引擎、历史数据检查器、回退策略引擎,"需求预测表CSV: {""SKU"": ""A009"", ""物理仓"": ""成都仓"", ""历史数据"": 0, ""预测方法"": ""简单均值"", ""置信度标记"": ""低置信"", ""周粒度行"": ""正常产出""}","[MUST] 仍产出周粒度行
[MUST] 方法回退为简单均值或输出""低置信""标记
[MUST] 不报错"
FCST-012,需求预测,预测生成,处理已停采或作废的SKU,A000(停采)北京7月预测,需求预测引擎、SKU状态检查器、异常处理器,"告警日志: {""SKU"": ""A000"", ""状态"": ""停采"", ""输出行数"": 0, ""告警信息"": ""SKU已停采，无法生成预测""}；整体任务继续执行其他SKU","[MUST] 返回0行并有可追溯告警
[MUST] 整体任务不中断"
FCST-013,需求预测,预测生成,处理重复提交，保证幂等性,同一条指令重复提交两次,需求预测引擎、幂等性检查器、任务日志记录器,"任务日志: {""请求ID"": ""相同"", ""执行次数"": 1, ""幂等标记"": ""命中"", ""两次结果"": ""完全一致""}","[MUST] 两次结果一致
[MUST] 仅写一次任务日志(或标记为幂等命中)"
FCST-014,需求预测,预测生成,处理别名和全半角字符混用,A001 帝都仓7月预测,需求预测引擎、仓库别名映射器、字符标准化器,"需求预测表CSV: {""SKU"": ""A001"", ""输入仓名"": ""帝都仓"", ""标准仓名"": ""北京仓"", ""输入月份"": ""全角7"", ""标准月份"": 7}","[MUST] 别名→北京仓
[MUST] 全角""7""正确解析为7
[MUST] 其余维度不受影响"
FCST-015,需求预测,预测生成,处理大规模数据，支持分页处理,全部 SKU 成都7月预测"(>1000行),需求预测引擎、批量切片器、分页处理器、结果合并器,"需求预测表CSV: {""总行数"": "">1000"", ""分页策略"": ""按SKU切片"", ""排序规则"": ""SKU,仓,周"", ""合并状态"": ""不丢不重""}","[MUST] 触发批量切片与分页
[MUST] 最终结果合并不丢不重,排序=SKU,仓,周"
FCST-016,需求预测,预测对比报告,A001@北京仓近三个月，多算法对比，给 wMAPE,做 A001@北京仓 近三个月 MA/ETS/Croston 的预测对比，给 wMAPE,预测对比引擎、多算法评估器、wMAPE计算器,"预测对比明细表(CSV格式): 字段包含【周次、开始时间、结束时间、SKU编码、SKU名称、归属组织、预计发货物理仓、预计发货仓销售量(实际)、需求预测_MA、需求预测_ETS、需求预测_Croston、预测误差绝对值_MA、预测误差绝对值_ETS、预测误差绝对值_Croston、跨月周标记】；汇总卡片: {""算法对比汇总"": {""MA"": {""wMAPE"": ""15.0%"", ""P50"": ""12.0%"", ""P90"": ""25.0%"", ""样本周数"": 12}, ""ETS"": {""wMAPE"": ""18.0%"", ""P50"": ""15.0%"", ""P90"": ""28.0%"", ""样本周数"": 12}, ""Croston"": {""wMAPE"": ""22.0%"", ""P50"": ""18.0%"", ""P90"": ""32.0%"", ""样本周数"": 12}}, ""推荐算法"": ""MA""}","[MUST] 时间窗=近3个月（rolling_3m）
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 算法集合={MA, ETS, Croston}
[MUST] 指标包含=wMAPE
[SHOULD] 附带P50/P90 WAPE"
FCST-017,需求预测,预测对比报告,2024Q4 按仓汇总展示,出 2024Q4 的预测对比报告，按仓汇总展示,预测对比引擎、仓汇总聚合器、跨月周处理器,"预测对比汇总表(CSV格式): 字段包含【预计发货物理仓、归属组织、样本周数、样本SKU数、总实际销量、总预测量、wMAPE、P50、P90、MASE、跨月周数量】；示例数据: [{""物理仓"": ""北京仓"", ""wMAPE"": ""16.0%"", ""P50"": ""13.0%"", ""P90"": ""28.0%"", ""样本周数"": 13, ""样本SKU数"": 156}, {""物理仓"": ""成都仓"", ""wMAPE"": ""19.0%"", ""P50"": ""15.0%"", ""P90"": ""32.0%"", ""样本周数"": 13, ""样本SKU数"": 142}, {""物理仓"": ""珠海仓"", ""wMAPE"": ""14.0%"", ""P50"": ""11.0%"", ""P90"": ""25.0%"", ""样本周数"": 13, ""样本SKU数"": 98}, {""物理仓"": ""昆山仓"", ""wMAPE"": ""21.0%"", ""P50"": ""17.0%"", ""P90"": ""35.0%"", ""样本周数"": 13, ""样本SKU数"": 87}]","[MUST] 时间窗=2024Q4
[MUST] 粒度=仓汇总
[MUST] 指标集合={wMAPE, P50, P90}
[SHOULD] 跨月标记=是（如跨月周标记）"
FCST-018,需求预测,预测对比报告,2025年7月成都仓，按周对比,生成 2025年7月 成都仓 的预测对比（按周）,预测对比引擎、周粒度对比器,"预测对比明细表(CSV格式): 字段包含【周次、开始时间、结束时间、SKU编码、SKU名称、归属组织、预计发货物理仓、预计发货仓销售量(实际)、需求预测、预测方法、预测误差绝对值、预测误差、wMAPE、跨月周标记】；示例数据覆盖: [{""周次"": ""2025-W27"", ""开始时间"": ""2025-07-01"", ""结束时间"": ""2025-07-07"", ""跨月周标记"": ""N""}, {""周次"": ""2025-W28"", ""开始时间"": ""2025-07-08"", ""结束时间"": ""2025-07-14"", ""跨月周标记"": ""N""}, {""周次"": ""2025-W29"", ""开始时间"": ""2025-07-15"", ""结束时间"": ""2025-07-21"", ""跨月周标记"": ""N""}, {""周次"": ""2025-W30"", ""开始时间"": ""2025-07-22"", ""结束时间"": ""2025-07-28"", ""跨月周标记"": ""N""}, {""周次"": ""2025-W31"", ""开始时间"": ""2025-07-29"", ""结束时间"": ""2025-08-04"", ""跨月周标记"": ""Y""}]；周汇总卡片: {""总样本周数"": 5, ""平均wMAPE"": ""16.5%""}","[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周
[SHOULD] 输出周起止列"
FCST-019,需求预测,预测对比报告,6/24~7/21 跨月周对比,对比 2025-06-24~2025-07-21 的预测表现,预测对比引擎、跨月周识别器、口径标注器,"预测对比明细表(CSV格式): 字段包含【周次、开始时间、结束时间、SKU编码、SKU名称、归属组织、预计发货物理仓、预计发货仓销售量(实际)、需求预测、预测方法、预测误差绝对值、预测误差、wMAPE、跨月周标记、财务月份归属说明】；跨月周处理示例: [{""周次"": ""2025-W26"", ""开始时间"": ""2025-06-24"", ""结束时间"": ""2025-06-30"", ""跨月周标记"": ""Y"", ""财务归属"": ""6月:6天(06-24~06-30)""}, {""周次"": ""2025-W27"", ""开始时间"": ""2025-07-01"", ""结束时间"": ""2025-07-07"", ""跨月周标记"": ""N""}, {""周次"": ""2025-W28"", ""开始时间"": ""2025-07-08"", ""结束时间"": ""2025-07-14"", ""跨月周标记"": ""N""}, {""周次"": ""2025-W29"", ""开始时间"": ""2025-07-15"", ""结束时间"": ""2025-07-21"", ""跨月周标记"": ""N""}]；口径说明: 自然周粒度统计，跨月周按自然日拆分归属到各月","[MUST] 时间窗=日期区间（2025-06-24~2025-07-21）
[MUST] 跨月标记=是
[SHOULD] 口径=自然周/自然日清晰标注"
FCST-020,需求预测,预测对比报告,指定 MA7/MA8，缺失时回退默认集合,做近一月对比，用 MA7/MA8,预测对比引擎、算法可用性检查器、回退策略引擎,"预测对比明细表(CSV格式): 字段包含【周次、开始时间、结束时间、SKU编码、SKU名称、归属组织、预计发货物理仓、预计发货仓销售量(实际)、需求预测_MA、需求预测_ETS、预测方法(实际使用)、预测误差绝对值、预测误差、wMAPE、跨月周标记】；算法回退说明卡片: {""请求算法"": [""MA7"", ""MA8""], ""可用性检查"": {""MA7"": ""不可用-历史数据不足7周"", ""MA8"": ""不可用-历史数据不足8周""}, ""回退算法"": [""MA"", ""ETS""], ""实际使用"": ""MA(默认算法)"", ""回退原因"": ""请求的MA7/MA8算法因历史数据窗口不足无法计算，已自动回退到MA和ETS""} ；汇总卡片: {""MA"": {""wMAPE"": ""15.2%""}, ""ETS"": {""wMAPE"": ""17.8%""}, ""推荐算法"": ""MA""}","[MUST] 时间窗=近1个月（rolling_1m）
[MUST] 算法请求包含={MA7, MA8}
[SHOULD] 若算法不可用→fallback到{MA, ETS}并在报告头标注"
FCST-021,需求预测,预测对比报告,列出 wMAPE 最差 Top10 SKU,输出最近一月 wMAPE 最差 Top10 SKU,预测对比引擎、排序器、TopN筛选器,"预测对比Top10汇总表(CSV格式): 字段包含【排名、SKU编码、SKU名称、预计发货物理仓、归属组织、样本周数、总实际销量、总预测量、平均预测误差绝对值、wMAPE、P50、P90、预测方法、最差周次、最差周wMAPE】；示例数据: [{""排名"": 1, ""SKU"": ""A005"", ""SKU名称"": ""商品A005"", ""物理仓"": ""北京仓"", ""wMAPE"": ""45.0%"", ""样本周数"": 4, ""总实际销量"": 156, ""总预测量"": 242, ""P50"": ""38.0%"", ""P90"": ""62.0%"", ""预测方法"": ""MA"", ""最差周次"": ""2025-W28"", ""最差周wMAPE"": ""68.0%""}, {""排名"": 2, ""SKU"": ""A012"", ""SKU名称"": ""商品A012"", ""物理仓"": ""成都仓"", ""wMAPE"": ""42.0%"", ""样本周数"": 4, ""总实际销量"": 89, ""总预测量"": 142, ""P50"": ""35.0%"", ""P90"": ""58.0%"", ""预测方法"": ""ETS"", ""最差周次"": ""2025-W27"", ""最差周wMAPE"": ""65.0%""}, ...剩余8条]","[MUST] 时间窗=近1个月（rolling_1m）
[MUST] 排序方式=wMAPE最差排序
[MUST] TopN=10
[SHOULD] 附每个SKU的覆盖样本数"
FCST-022,需求预测,活动调整预测,北京仓 A001 在 7/10–7/12 提升 20%,A001@北京仓 7月10日到12日 活动提升 20%,活动调整引擎、预测调整器、窗口限定器,"调整后预测表: {""SKU"": ""A001"", ""仓"": ""北京仓"", ""活动窗口"": ""2025-07-10~2025-07-12"", ""调整方式"": ""+20%（乘法）"", ""原预测"": [100, 105, 98], ""调整后"": [120, 126, 117.6]}","[MUST] 范围={SKU:A001, 仓:北京}
[MUST] 活动窗口=2025-07-10~2025-07-12
[MUST] 调整方式=+20%（乘法）
[SHOULD] 仅影响活动窗内预测"
FCST-023,需求预测,活动调整预测,"618"活动，成都仓全品类 +30%,成都仓 618 活动期 需求提升 30%,活动调整引擎、活动日期映射器、全品类调整器,"调整后预测表: {""活动"": ""618"", ""活动日期"": ""2025-06-18"", ""仓"": ""成都仓"", ""SKU范围"": ""全品类"", ""调整方式"": ""+30%"", ""波段处理"": ""多波段逐段生效""}","[MUST] 活动=618→正确映射日期
[MUST] 仓=成都仓
[MUST] 调整方式=+30%
[SHOULD] 若含多个波段，逐段生效"
FCST-024,需求预测,活动调整预测,两条活动重叠时，后录入覆盖前者,对 7/10–7/12 已有 +10%，再加 +25%,活动调整引擎、冲突解决器、版本控制器,"调整后预测表: {""窗口"": ""2025-07-10~2025-07-12"", ""第1次调整"": ""+10%"", ""第2次调整"": ""+25%"", ""冲突策略"": ""后者覆盖"", ""最终调整值"": ""+25%"", ""历史版本"": ""已记录""}","[MUST] 冲突解决=后者覆盖（latest_wins）
[MUST] 结果调整值=+25%
[SHOULD] 记录历史版本"
FCST-025,需求预测,活动调整预测,撤销上一条活动调整,撤销 上次 对 A001 的活动调整,活动调整引擎、回滚处理器、审计日志记录器,"调整操作日志: {""操作类型"": ""rollback_last"", ""撤销对象"": ""A001上次活动调整"", ""恢复状态"": ""调整前预测"", ""审计日志"": ""已留存""}","[MUST] 操作=回滚上次（rollback_last）
[MUST] 恢复至调整前预测
[SHOULD] 留存审计日志"
FCST-026,需求预测,活动调整预测,7/28–8/03 活动，按日拆分入相邻月份,7月28日至8月3日 全仓活动 +15%,活动调整引擎、跨月周识别器、日级拆分器,"调整后预测表: {""活动窗口"": ""2025-07-28~2025-08-03"", ""跨月标记"": ""是"", ""拆分粒度"": ""日级"", ""7月部分"": ""07-28~07-31(+15%)"", ""8月部分"": ""08-01~08-03(+15%)"", ""月度归属"": ""按自然日""}","[MUST] 跨月标记=是
[MUST] 拆分粒度=日级拆分
[SHOULD] 月度归属遵循自然日"
FCST-027,需求预测,活动调整预测,提升后不超过 2x，且不低于 0,A 类目 下周 活动 +80%，设置上限 2 倍,活动调整引擎、约束检查器、截断处理器,"调整后预测表: {""类目"": ""A"", ""时间"": ""下周"", ""调整请求"": ""+80%"", ""上限约束"": ""2倍"", ""下限约束"": 0, ""超限处理"": ""截断提示已给出""}","[MUST] 上限=2倍
[MUST] 下限=0
[SHOULD] 超出上限的天/仓给出截断提示"
ALLOC-001,调拨计划,生成调拨计划,生成本周全仓调拨计划（默认含在途、默认止拨）,生成本周的调拨计划,调拨计划引擎、目标库存计算器、ROP触发器、止拨校验器、批次分配器,"调拨建议单表: {""时间窗"": ""本周"", ""包含在途"": true, ""止拨策略"": ""apply"", ""输出列"": [""SKU"", ""批次"", ""调出逻辑仓"", ""调入逻辑仓"", ""计划数量"", ""ETA""], ""合计约束"": ""≤止拨后可分配量""}","[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=是（true）
[MUST] 止拨策略=应用（apply）
[MUST] 输出列包含={SKU, 仓, 数量, ETA, 批次}
[SHOULD] 合计≤止拨后可分配量"
ALLOC-002,调拨计划,生成调拨计划,仅输出今日触发的补货行,今天的调拨计划是什么？,调拨计划引擎、ROP触发器、触发原因分析器,"调拨建议单表: {""巡检日期"": ""today"", ""触发条件"": ""库存水位<ROP(日)"", ""触发行"": ""仅今日触发的补货"", ""附加列"": ""触发原因（如库存不足/在途延迟）""}","[MUST] 时间窗=今天（today）
[MUST] 触发条件=库存水位<ROP
[SHOULD] 附触发原因列"
ALLOC-003,调拨计划,生成调拨计划,止拨限制导致未分配进入例外清单,严格执行止拨 阈值后生成北京仓计划,调拨计划引擎、严格止拨校验器、例外清单生成器,"调拨建议单表 + 例外清单表: {""仓"": ""北京仓"", ""止拨策略"": ""strict"", ""未满足缺口"": ""进入例外清单"", ""原因标注"": ""止拨不足""}","[MUST] 止拨策略=严格（strict）
[MUST] 未满足缺口→异常清单
[SHOULD] 原因=止拨不足"
ALLOC-004,调拨计划,生成调拨计划,放开止拨后补足缺口,放开止拨 生成北京仓本周计划,调拨计划引擎、越权止拨处理器、审批记录器,"调拨建议单表: {""仓"": ""北京仓"", ""止拨策略"": ""override"", ""缺口补足状态"": ""已填补"", ""越权记录"": ""来源已记录，需审批""}","[MUST] 止拨策略=越权（override）
[MUST] 填补上例缺口
[SHOULD] 记录越权来源"
ALLOC-005,调拨计划,生成调拨计划,批次最多 2 去向，每去向≥3箱,K=2；min_split_cases=3；生成本周计划,调拨计划引擎、批次拆分限制器、最小量约束器、未分配处理器,"调拨建议单表 + 未分配清单: {""K限制"": 2, ""最小拆分量"": ""3箱"", ""批次去向数校验"": ""≤2"", ""每去向数量校验"": ""≥3箱"", ""超限残量"": ""进入未分配清单""}","[MUST] K限制=2
[MUST] 最小拆分量=3箱
[MUST] 任一批次去向数≤2
[MUST] 每去向≥3箱
[SHOULD] 超限残量进入未分配清单"
ALLOC-006,调拨计划,生成调拨计划,不把在途计入库存水位,生成本周计划 不要把在途算进去,调拨计划引擎、库存水位计算器(不含在途)、ROP触发器,"调拨建议单表: {""包含在途"": false, ""库存水位"": ""仅可用库存"", ""触发行数"": ""↑(相对默认口径)"", ""说明"": ""不含在途时触发阈值更低""}","[MUST] 包含在途=否（false）
[MUST] 触发行↑（相对默认口径）"
ALLOC-007,调拨计划,生成调拨计划,跨月周照常生成，月度账按自然日拆分,生成 7月第一周 的调拨计划,调拨计划引擎、跨月周识别器、财务拆分规则引擎,"调拨建议单表: {""周次"": ""2025-07-W1"", ""跨月标记"": ""是"", ""报表口径"": ""自然周"", ""财务拆分"": ""按自然日拆到6月和7月""}","[MUST] 跨月标记=是
[MUST] 报表口径=自然周
[SHOULD] 月度拆分标记"
ALLOC-008,调拨计划,生成调拨计划,只对 A001/A002 生成计划,只做 A001 和 A002 的本周调拨,调拨计划引擎、SKU筛选器,"调拨建议单表: {""SKU集合"": [""A001"", ""A002""], ""时间窗"": ""本周"", ""输出约束"": ""仅这两类SKU""}","[MUST] SKU集合={A001, A002}
[MUST] 仅输出这两类SKU"
ALLOC-009,调拨计划,生成调拨计划,生成可执行的建议单（整箱/整托取整）,生成建议调拨单（按包装/整托取整）,调拨计划引擎、取整处理器(整箱/整托)、装载校验器,"调拨建议单表: {""取整方式"": ""按箱/按托盘"", ""计划数量"": ""取整后数量"", ""装载校验"": ""体积/重量已校验"", ""裁剪标注"": ""超体/车次裁剪已标注""}","[MUST] 取整方式=按箱/按托盘
[MUST] 计划数量=取整后数量
[SHOULD] 超体/车次裁剪标注"
RPT-001,生成报告,KPI报告,输出 7 月 KPI 总览（全仓）,生成 7月 的 KPI 报告,KPI报告生成器、指标计算器、对比分析器,"KPI报告表: {""时间窗"": ""2025-07"", ""指标"": {""本地订单履约率"": ""85.2%"", ""拆单率"": ""12.5%"", ""缺货率"": ""3.1%"", ""旧批占比"": ""8.7%"", ""运费/单"": ""¥15.8""}, ""环比上月"": {""履约率"": ""+2.3%"", ""拆单率"": ""-0.8%""}}","[MUST] 时间窗=2025-07（月）
[MUST] 指标包含={本地订单履约率, 拆单率, 缺货率, 旧批占比, 运费/单}
[SHOULD] 上月对比"
RPT-002,生成报告,KPI报告,本周按仓拆分 KPI,生成 本周 KPI（按仓）,KPI报告生成器、仓维度聚合器、排序器,"KPI报告表（按仓）: {""时间窗"": ""本周"", ""粒度"": ""仓"", ""数据"": [{""仓"": ""成都仓"", ""履约率"": ""82%""}, {""仓"": ""北京仓"", ""履约率"": ""88%""}], ""排序"": ""按履约率升序""}","[MUST] 时间窗=本周（this_week）
[MUST] 粒度=仓
[SHOULD] 排序=本地履约率升序"
RPT-003,生成报告,KPI报告,本地履约率最低 Top10 SKU×仓,输出 履约率最低 Top10 SKU×仓,KPI报告生成器、TopN筛选器、原因分析器,"KPI报告表（Top10）: {""排序方式"": ""本地履约率最低"", ""TopN"": 10, ""结果"": [{""SKU"": ""A005"", ""仓"": ""成都仓"", ""履约率"": ""45%"", ""原因"": ""越库""}, {""SKU"": ""A012"", ""仓"": ""北京仓"", ""履约率"": ""52%"", ""原因"": ""在途延迟""}]}","[MUST] 排序方式=本地履约率最低排序
[MUST] TopN=10
[SHOULD] 附原因标签字段（如越库/在途/止拨）"
RPT-004,生成报告,KPI报告,跨月周统计口径一致（财务按自然日拆账）,本周跨月 仍生成 KPI,KPI报告生成器、跨月周识别器、财务拆分规则引擎,"KPI报告表: {""周次"": ""本周"", ""跨月标记"": ""是"", ""周口径"": ""自然周"", ""财务拆账"": ""按自然日拆分到相邻月份"", ""提示"": ""月度汇总需按日拆分""}","[MUST] 跨月标记=是
[MUST] 周口径=自然周
[SHOULD] 月度拆账提示"
RPT-005,生成报告,KPI报告,支持导出 CSV/Excel,导出 本月 KPI 明细为 CSV,KPI报告生成器、导出格式化器、文件命名器,"导出文件: {""格式"": ""CSV"", ""列完整性"": ""所有KPI指标列齐全"", ""文件名"": ""KPI_Report_2025-07_20251013_143025.csv""}","[MUST] 导出格式=CSV
[MUST] 列完整
[SHOULD] 文件名含period与生成时间"
RPT-006,生成报告,KPI报告,打开上周 KPI 报告时，4 张摘要卡需全部出现,生成上周KPI报告,KPI报告生成器、摘要卡渲染器,"KPI报告-摘要卡区: {""摘要卡数量"": 4, ""卡片标题"": [""本地履约率"", ""拆单率"", ""旧批次拆单占比"", ""订单量""], ""验证"": ""全部摘要卡存在""}","[MUST] 摘要卡标题包含={本地履约率, 拆单率, 旧批次拆单占比, 订单量}
[MUST] 全部摘要卡存在"
RPT-007,生成报告,KPI报告,每张摘要卡的字段齐全,生成上周KPI报告,KPI报告生成器、摘要卡字段校验器,"KPI报告-摘要卡字段: {""每张卡字段"": [""value"", ""wow_delta"", ""trend""], ""字段状态"": ""非空且可解析""}","[MUST] 每张卡包含={value, wow_delta, trend}
[MUST] 字段非空且可解析"
RPT-008,生成报告,KPI报告,摘要卡的数值/格式符合约定,生成上周KPI报告,KPI报告生成器、格式化器、趋势图标渲染器,"KPI报告-摘要卡格式: {""比率类"": ""百分比格式(如42.3%)"", ""订单量"": ""整数/千分位"", ""trend字段"": ""上升↑/下降↓/持平→图标""}","[MUST] 本地履约率/拆单率/旧批次拆单占比=百分比格式（如42.3%）
[MUST] 订单量=整数/千分位可选
[MUST] trend字段存在（显示上升/下降/持平或等价图标）"
RPT-009,生成报告,KPI报告,"核心指标表"结构正确,生成上周KPI报告,KPI报告生成器、核心指标表渲染器,"KPI报告-核心指标表: {""表头"": [""指标"", ""上周"", ""环比"", ""同期"", ""趋势""], ""行项目"": [""本地履约率"", ""拆单率"", ""旧批次拆单占比""]}","[MUST] 表头={指标, 上周, 环比, 同期, 趋势}
[MUST] 行项目包含={本地履约率, 拆单率, 旧批次拆单占比}"
RPT-010,生成报告,KPI报告,核心指标表中的字段格式正确,生成上周KPI报告,KPI报告生成器、格式化器、趋势渲染器,"KPI报告-核心指标表格式: {""比率类"": ""百分比格式"", ""趋势列"": ""上升↑/下降↓/持平→""}","[MUST] 指标行中的比率类=百分比格式
[MUST] 趋势列呈现=上升/下降/持平（或等价图标）"
RPT-011,生成报告,KPI报告,"重点仓表现"表存在且列齐全,生成上周KPI报告,KPI报告生成器、重点仓表渲染器,"KPI报告-重点仓表: {""表头"": [""仓"", ""本地履约率"", ""拆单率"", ""旧批次拆单占比"", ""订单量""], ""数据行"": ""≥1""}","[MUST] 表头={仓, 本地履约率, 拆单率, 旧批次拆单占比, 订单量}
[MUST] 至少1行数据"
RPT-012,生成报告,KPI报告,重点仓各列格式正确,生成上周KPI报告,KPI报告生成器、格式化器、数据校验器,"KPI报告-重点仓表格式: {""比率列"": ""百分比格式"", ""订单量"": ""非负整数/千分位"", ""仓字段"": ""非空""}","[MUST] 比率列=百分比格式
[MUST] 订单量=非负整数/千分位可选
[MUST] 仓字段非空"
RPT-013,生成报告,KPI报告,"运输成本分析（上周）"4 张卡片全部出现,生成上周KPI报告,KPI报告生成器、成本卡渲染器,"KPI报告-运输成本卡: {""成本卡数量"": 4, ""卡片标题"": [""总运费"", ""订单运费"", ""调拨运费"", ""加权单位物流成本""], ""验证"": ""全部成本卡存在""}","[MUST] 成本卡标题包含={总运费, 订单运费, 调拨运费, 加权单位物流成本}
[MUST] 全部成本卡存在"
RPT-014,生成报告,KPI报告,成本卡片字段齐全且格式正确,生成上周KPI报告,KPI报告生成器、成本格式化器、趋势渲染器,"KPI报告-成本卡格式: {""每张卡字段"": [""value"", ""wow_delta"", ""trend""], ""金额格式"": ""¥1,838,646（货币+千分位）"", ""单位成本"": ""元/m³""}","[MUST] 每张卡包含={value, wow_delta, trend}
[MUST] 金额类带货币/千分位（如¥1,838,646）
[MUST] 单位成本显示=元/m³"
RPT-015,生成报告,KPI报告,"省级物流成本明细（前10名）"表结构正确,生成上周KPI报告,KPI报告生成器、省级成本表渲染器、TopN筛选器,"KPI报告-省级成本表: {""表头"": [""省份"", ""单位物流成本（元/m³）"", ""环比"", ""同期"", ""趋势""], ""行数"": 10, ""单位成本列"": ""数值+单位""}","[MUST] 表头={省份, 单位物流成本（元/m³）, 环比, 同期, 趋势}
[MUST] 行数=10
[MUST] 单位成本列=数值+单位"
RPT-016,生成报告,KPI报告,所有出现"趋势/Trend"的位置都按统一枚举展示,生成上周KPI报告,KPI报告生成器、趋势标准化器、一致性校验器,"KPI报告-趋势一致性: {""所有trend位置"": ""摘要卡、核心指标表、重点仓表、成本卡、省级成本表"", ""trend值域"": [""上升↑"", ""下降↓"", ""持平→""], ""验证"": ""枚举值一致""}","[MUST] 所有trend字段出现
[MUST] trend值∈{上升, 下降, 持平}（或等价图标/文案一致）"

